,Ps,Pi,Pd,Average error,SD
148,0.094,0.01,0.01,0.294688829548157,0.7683503664864015
149,0.096,0.01,0.01,0.34350893900623125,0.7174563882811192
150,0.098,0.01,0.01,0.35243036431449726,0.8336359804725204
151,0.1,0.01,0.01,0.4091617260153199,0.7407516089799332
152,0.10200000000000001,0.01,0.01,0.25936354566988135,0.5490913252002634
153,0.10400000000000001,0.01,0.01,0.35151680396405993,0.8423949675443112
154,0.106,0.01,0.01,0.38821088485051974,0.8118692948602518
155,0.108,0.01,0.01,0.5268496046911947,0.9369882168580679
156,0.11,0.01,0.01,0.30810957324784805,0.77168508287475
157,0.112,0.01,0.01,0.3704559351854569,0.8274378067975745
158,0.114,0.01,0.01,0.29919457184348974,0.655953586850931
159,0.116,0.01,0.01,0.43955306421610657,1.0575541742057906
160,0.11800000000000001,0.01,0.01,0.5915525399587327,0.8934893944716011
161,0.12,0.01,0.01,0.5929357694826377,1.2739010829639832
162,0.122,0.01,0.01,0.471136312705438,0.8471475440779568
163,0.124,0.01,0.01,0.5019676106663709,0.9430749808814591
164,0.126,0.01,0.01,0.6103069182657732,0.9681769637259667
165,0.128,0.01,0.01,0.4734056112754919,0.9045915863297713
166,0.13,0.01,0.01,0.9262779282734573,1.4684795637050911
167,0.132,0.01,0.01,0.618392757471606,1.06433065162949
168,0.134,0.01,0.01,0.5509955184493481,1.0862899032250868
169,0.136,0.01,0.01,0.5484424606998619,0.9328102413472765
170,0.138,0.01,0.01,0.7303000101596777,1.3304672235683686
171,0.14,0.01,0.01,0.8849729893869847,1.540410208043729
172,0.14200000000000002,0.01,0.01,0.7037245360588139,1.541321832073011
173,0.14400000000000002,0.01,0.01,0.5178080023094437,1.0932948903612238
174,0.146,0.01,0.01,0.6605546167913318,1.3223829058039018
175,0.148,0.01,0.01,0.46721471812796345,0.8864204567609046
176,0.15,0.01,0.01,0.839739832167792,1.2529832993735324
177,0.152,0.01,0.01,0.568214303596505,1.061610976922769
178,0.154,0.01,0.01,0.5730928115873738,1.0533362922277578
179,0.156,0.01,0.01,0.8405937057843264,1.538052384097972
180,0.158,0.01,0.01,0.682150108687847,1.5253639729084618
181,0.16,0.01,0.01,0.9654153757198172,1.6361667425317965
182,0.162,0.01,0.01,1.0230214221611844,1.57412337504724
183,0.164,0.01,0.01,0.866420549026904,1.5842892749310815
184,0.166,0.01,0.01,1.1982806044843455,2.0298513126899063
185,0.168,0.01,0.01,1.0094419993055181,1.7203338249149829
186,0.17,0.01,0.01,0.9545928198009795,1.5934767060244703
187,0.17200000000000001,0.01,0.01,0.782737766901984,1.3089327910728445
188,0.17400000000000002,0.01,0.01,0.8936626026748036,1.6239263669316684
189,0.176,0.01,0.01,0.9378816451083558,1.4611704885809258
190,0.178,0.01,0.01,0.7671452907120897,1.32365740865562
191,0.18,0.01,0.01,0.9918546752765878,1.6908298360188232
192,0.182,0.01,0.01,1.2400806446312889,1.8752065386420254
193,0.184,0.01,0.01,1.2868651853330568,1.845409305230707
194,0.186,0.01,0.01,1.1281697116750997,1.8229816647099593
195,0.188,0.01,0.01,1.0153562042353246,1.8590367726786559
196,0.19,0.01,0.01,1.0637316208896082,1.82917047890187
197,0.192,0.01,0.01,0.8625368465534169,1.2289086444085
198,0.194,0.01,0.01,1.3319508814821988,2.0557893477981426
199,0.196,0.01,0.01,1.2799830418028129,2.2135869141283906
200,0.198,0.01,0.01,1.248331294501651,2.1069597685960453
201,0.2,0.01,0.01,1.2683431871856015,2.2075007702132177
202,0.0,0.02,0.02,0.0,0.0
203,0.002,0.02,0.02,0.010204081632653062,0.10152933031700206
204,0.004,0.02,0.02,0.0826085548548611,0.2801917075019627
205,0.006,0.02,0.02,0.10439055867899624,0.3761463049538745
206,0.008,0.02,0.02,0.14372735712846038,0.38438886943032163
207,0.01,0.02,0.02,0.07271538861096903,0.2650741596687452
208,0.012,0.02,0.02,0.06274038272507804,0.24838233041817168
209,0.014,0.02,0.02,0.08370307094485419,0.32132623037413877
210,0.016,0.02,0.02,0.1151522208692955,0.3275830051002293
211,0.018000000000000002,0.02,0.02,0.10571816036315909,0.3503685266244048
212,0.02,0.02,0.02,0.11595792973053876,0.39384957882423266
213,0.022,0.02,0.02,0.14658722719222328,0.39529114044877084
214,0.024,0.02,0.02,0.12759603576681985,0.4345313031583555
215,0.026000000000000002,0.02,0.02,0.1685107918154398,0.3862306602291874
216,0.028,0.02,0.02,0.12908364572515588,0.3496379683762521
217,0.03,0.02,0.02,0.17019477912565734,0.49082376116975157
218,0.032,0.02,0.02,0.20302774815349506,0.49784077479644556
219,0.034,0.02,0.02,0.21385680223531384,0.5673317318124989
220,0.036000000000000004,0.02,0.02,0.11660654925335859,0.3317394400596999
221,0.038,0.02,0.02,0.19601437296842483,0.4185310921945303
222,0.04,0.02,0.02,0.22552652644155288,0.534945568833436
223,0.042,0.02,0.02,0.27208682090241143,0.5424165719179452
224,0.044,0.02,0.02,0.1396575636715616,0.36144465410592636
225,0.046,0.02,0.02,0.2937424580586551,0.6363382966974462
226,0.048,0.02,0.02,0.20731124295948486,0.455476656670648
227,0.05,0.02,0.02,0.3056119677261866,0.6582774394505093
228,0.052000000000000005,0.02,0.02,0.27142663551405716,0.5625329159811728
229,0.054,0.02,0.02,0.4493262352524905,0.8100779596507541
230,0.056,0.02,0.02,0.5032250941494891,0.9505656615862996
