,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates,Probability of Inseertion
35,0.4791666666666667,0.5396597436245258,19.020833333333332,2.4287592568588963,24.125,3.015872363199595,0.25,0.08750000000000001
36,0.3854166666666667,0.41023684723990034,20.53125,2.7051062504805405,26.416666666666664,3.0345235760055207,0.25,0.09
37,0.2916666666666667,0.43898557303553076,20.729166666666664,3.044447929337016,25.875,3.931708704028483,0.25,0.0925
38,0.5,0.4947642536265799,20.552083333333336,2.4087288818770967,26.40625,3.416523752092339,0.25,0.095
39,0.33333333333333337,0.39747466725706065,20.885416666666668,2.6601278882686157,26.510416666666668,3.3342283954545695,0.25,0.0975
40,0.42708333333333337,0.4318835925339142,21.666666666666668,2.787310033387427,27.177083333333332,3.1766393132348045,0.25,0.1
41,0.4375,0.42644769771789004,21.979166666666668,1.9493366036794273,28.0625,2.506155616122475,0.25,0.10250000000000001
42,0.25,0.33333333333333337,22.260416666666668,2.436498191565099,28.1875,2.6046666186758807,0.25,0.105
43,0.28125,0.35339990528515364,22.125,2.0429417786885433,27.84375,3.0188750836749327,0.25,0.1075
44,0.27083333333333337,0.2879223950226094,23.645833333333336,1.8369991758904582,30.104166666666664,2.6315229800335094,0.25,0.11
45,0.28125,0.3144039223497202,23.385416666666664,2.388462393291271,29.666666666666664,3.0207614933986435,0.25,0.1125
46,0.39583333333333337,0.4463392767839282,24.479166666666664,2.1220363320274336,30.697916666666668,2.597721190186592,0.25,0.115
47,0.3854166666666667,0.3885011708119066,24.947916666666668,1.5871322299284887,31.333333333333336,2.1972994789058684,0.25,0.11750000000000001
48,0.34375,0.43588491568557663,24.072916666666664,2.001491414406878,30.21875,2.5172796921699243,0.25,0.12
49,0.3125,0.39253007669618273,25.0,1.3501543121683042,31.770833333333336,2.285503074938985,0.25,0.1225
50,0.27083333333333337,0.2724311839712921,24.916666666666668,1.8708286933869707,31.666666666666668,2.1081851067789197,0.25,0.125
51,0.375,0.44487826050130463,24.927083333333332,1.827850466090946,31.15625,2.472921932035956,0.25,0.1275
52,0.2916666666666667,0.38640077064565437,25.375,1.5444794160708866,32.1875,2.1423920626253263,0.25,0.13
